Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,year,average_rating
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2016.0,5.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1995.0,5.0
0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2009.0,5.0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1998.0,5.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1981.0,5.0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2010.0,5.0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1942.0,5.0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020.0,5.0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2006.0,5.0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2008.0,5.0
0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1966.0,5.0
0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2015.0,5.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2020.0,5.0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997.0,5.0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1985.0,5.0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012.0,5.0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016.0,4.666666666666667
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016.0,4.666666666666667
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2016.0,4.666666666666667
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1964.0,4.5
0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011.0,4.5
