movieId,title,genres
260659,Falling for Figaro (2021),Comedy|Romance
166338,Young Man of Manhattan (1930),Comedy|Romance
265872,Fiddlesticks (1930),Animation
1258,"Shining, The (1980)",Horror
249352,A Drunk Scorpion Will Sting Itself to Death (2020),Crime|Drama
188199,Jazzclub - Der frühe Vogel fängt den Wurm (2004),Comedy
225027,God of Vampires (2010),Action|Horror|Thriller
230865,Peões (2004),Documentary
169684,The Thirteenth Tale (2013),Drama
27070,"Place Called Chiapas, A (1998)",Documentary
245484,Frog-g-g! (2004),Comedy|Horror|Sci-Fi
8488,Siddhartha (1972),Drama
186381,Campeones (2018),Comedy|Drama
167354,Stratos (2014),Crime|Drama
138296,Azzurro (2000),(no genres listed)
207325,The Secret Life of Cats (2014),Documentary
101431,"Christine Jorgensen Story, The (1970)",Drama
270880,A Day of Judgment (1981),Horror
175771,Villa Henriette (2004),Comedy
164294,Sarah and the Squirrel (1992),(no genres listed)
206791,Dangerous Partners (1945),Adventure|Mystery
184815,Hunter's Blood (1986),Action|Horror
80557,Camp Hell (2010),Thriller
298845,True Vengeance (1997),Action|Drama|Thriller
169004,American Sharia,(no genres listed)
284829,The Hero Show (2010),(no genres listed)
69159,Jimmy and Judy (2006),Crime|Drama|Thriller
256655,The Million Dollar Kid (2000),Adventure|Children|Comedy
137751,Mrs. Ashboro's Cat (2003),Children|Thriller
233731,Marketing the Messiah (2020),Documentary
97401,Terumae romae (Thermae Romae) (2012),Comedy|Sci-Fi
280102,Baal (1982),Drama
274169,Monkey Love? (1985),Animation
26792,Sidekicks (1992),Action|Adventure|Children|Comedy
156848,Touch and Go (1991),(no genres listed)
167128,The Light of Freedom (2013),(no genres listed)
132325,The Return of Count Yorga (1971),Horror
195019,The Keeping Hours (2017),Drama|Fantasy|Horror
26875,"Pure Formality, A (Pura formalità, Una) (1994)",Crime|Film-Noir|Mystery|Thriller
281388,The Phenomenon (2022),Documentary
249718,Self Catering (1994),
89910,"Housewarming (Travaux, on sait quand ça commence...) (2005)",Comedy
128366,Patton Oswalt: Tragedy Plus Comedy Equals Time (2014),Comedy
184641,Fullmetal Alchemist 2018 (2017),Action|Adventure|Fantasy
227739,1999 (1998),(no genres listed)
183257,"Zaytsev, zhgi! Istoriya shoumena (2010)",(no genres listed)
203763,Bells of Atlantis (1952),(no genres listed)
266744,Drift Fence (1936),Action|Romance|Western
233083,Zappa (2020),Documentary
147799,"Time, Gentlemen, Please! (1952)",Comedy
119563,12 Dates of Christmas (2011),Children|Comedy|Fantasy|Romance
26563,Wildschut,(no genres listed)
247708,Where No Vultures Fly (1951),Adventure
211255,Havana 57 (2013),Drama
273373,Marcel the Shell with Shoes On (2010),Animation|Comedy
161850,Jimi Hendrix: The Last 24 Hours (2004),Documentary
148402,Drone (2014),Documentary|War
170577,Those Who Remain (2007),Drama|Romance
115873,"Red Beret, The (1953)",Drama|War
247544,Conduct Report on Professor Ishinaka (1950),Drama
188599,Synesthesia (2005),Crime|Horror|Mystery|Thriller
206575,"Paulette, la pauvre petite milliardaire (1986)",(no genres listed)
187893,Kanden Kadhalai (2009),Romance
197825,Little Red Riding Rabbit (1944),Animation|Comedy
253794,In Your Shoes (2020),Comedy
202263,In the Year 2889 (1967),Horror|Sci-Fi
130642,Backcountry (2014),Drama|Horror|Thriller
188413,Thenali (2000),Comedy
214532,Senda torcida (1963),Thriller
221898,Las que tienen que servir (1967),Comedy
133215,The Comedians of Comedy: Live at The Troubadour (2007),Comedy|Documentary
167734,Mr. Vampire 2 (1986),Action|Comedy|Horror
55553,Black Sheep (2006),Comedy|Horror
69134,Antichrist (2009),Drama|Fantasy
124011,The Story Lady (1991),(no genres listed)
254869,American Venus (2007),Drama
178349,Mademoiselle Gobete (1952),Comedy
268994,Der Wunschzettel (2018),Comedy
105922,Backwoods (2008),Action|Horror|Thriller
288753,The Deep Web: Murdershow (2023),Horror|Thriller
216127,The Roads Not Taken (2020),Drama
254396,Sisters: The Summer We Found Our Superpowers (2020),Adventure|Children|Fantasy
130358,Power and Lovers (1994),(no genres listed)
210015,Seide (2015),Drama
237572,China (1943),Drama|War
227877,Zola (2020),Drama
156442,Bring on the Girls (1945),(no genres listed)
157645,Festival At The Poolroom (1975),Comedy
191131,Girls Like Magic (2017),Comedy|Romance
138328,The Last Man on Earth (2011),Drama|Sci-Fi
7388,"Brother Sun, Sister Moon (Fratello sole, sorella luna) (1972)",Drama
118544,The... Beautiful Country (1977),Comedy|Drama
102188,Tunnel Rats (1968 Tunnel Rats) (2008),Action|Drama|War
277766,Fuks (1999),Comedy|Crime
216185,Mussolini and I (1985),Drama|War
57848,Canvas (2006),Drama
134561,Mi rifaccio vivo (2013),Comedy
234251,Marriage License? (1926),(no genres listed)
265614,Death Valley (2021),Action|Horror
176583,Sanctimony (2000),Mystery|Thriller
270586,Gerrymandering (2010),Documentary
236843,My Sweet Holiday (2020),Romance
113380,Only God Knows (Sólo Dios Sabe) (2006),Drama|Mystery|Romance
188429,I'm Flash! (2012),Action|Drama
250850,The Sore Losers (1997),Sci-Fi|Thriller
42634,Boys Don't Cry (Chlopaki nie placza) (2000),Comedy
245818,The Power (2021),Horror
178313,Blood Pressure (2013),Drama|Thriller
205921,24 Weeks (2016),Drama
230625,Helmut Newton: The Bad and the Beautiful (2020),Documentary
131419,The Rig (2010),Action|Horror|Sci-Fi|Thriller
110553,The Amazing Spider-Man 2 (2014),Action|Sci-Fi|IMAX
273941,Moksha: Salvation (2001),Drama
169064,Faith Connections (2013),Documentary|Drama
278646,Deck of Cards (2022),Comedy
207141,Life Like (2019),Sci-Fi|Thriller
6597,"Princess Blade, The (Shura Yukihime) (2001)",Action|Sci-Fi
112460,Planes: Fire & Rescue (2014),Adventure|Animation|Comedy
285631,Ally Was Screaming (2014),Comedy|Thriller
7137,"Cooler, The (2003)",Comedy|Drama|Romance
142701,Headspace (2005),Horror|Sci-Fi|Thriller
189497,Reset (2017),Action|Sci-Fi
183029,Crash Pad (2017),Comedy
161368,Old Ironsides (1926),Drama
152021,Tough (1974),Drama
278982,Prescient (2015),Drama|Mystery|Sci-Fi
255611,The Gangster's Daughter (2017),Crime|Drama|Thriller
89246,Orderers (Les ordres) (1974),Drama
161930,Hafu (2013),Documentary
293603,Gehara: The Dark and Long-Haired Monster (2009),Action|Comedy|Fantasy|Horror|Sci-Fi
103182,Julius Caesar (1979),Drama
61961,On the Beach (2000),Drama|Sci-Fi
91485,"Expendables 2, The (2012)",Action|Adventure
80924,Where the Red Fern Grows (2003),Drama
178571,Men at Work (2006),Comedy
72228,Creation (2009),Drama
260265,The Kidnapping of Groom (1985),Comedy
115386,Charlie Chan's Chance (1932),Mystery
191725,Makala (2017),Documentary|Drama
140844,13 Minutes (2015),Drama
247296,M (2007),Crime|Drama|Mystery|Romance|Thriller
274883,The Gunman From Bodie (1941),Western
71404,"3 Worlds of Gulliver, The (1960)",Adventure|Fantasy
295541,Atomic Saké (2001),Drama
204146,A Peacock's Tail (1946),Animation|Children
299177,Boso Dos (2023),Comedy|Thriller
186439,Wake (2003),Drama
273179,Lucky Jim (2003),Comedy|Drama|Romance
164125,Janie (1970),Horror
194546,Sheikh Jackson (2017),Drama
39439,God's Sandbox (Tahara) (2002),Drama
137136,Beach Pillows (2013),Drama
2032,"Barefoot Executive, The (1971)",Children|Comedy
45508,Wah-Wah (2005),Drama
155693,The Ape Man (1943),Horror|Sci-Fi
144432,Hindsight (2011),Action|Crime|Romance
270438,WWE: Liv Forever (2020),Documentary
154448,The Acid Eaters (1968),Drama
121302,Someone's Gaze (2013),Animation
3741,Badlands (1973),Crime|Drama|Thriller
104374,About Time (2013),Drama|Fantasy|Romance
248900,The Metamorphosis - A Study: Nabokov on Kafka (1989),
258035,Oh My Ghosts (2009),Comedy
157445,Ghost of Dragstrip Hollow (1959),Comedy|Horror
248128,Similarities Between Length and Speed (1937),(no genres listed)
225681,Mabel's Busy Day (1914),Comedy
26397,Brass Target (1978),Action|Drama|Mystery|Thriller
284591,Autoluminescent: Rowland S. Howard (2011),Documentary
5477,Sex and Lucia (Lucía y el sexo) (2001),Drama|Romance
284851,Snow Day (2022),Children|Comedy
259925,The Chairman (1969),Action|Thriller
89244,Face (Visage) (2009),Comedy|Drama
260377,666: The Demon Child (2004),Horror
184979,Big Bear (2017),Comedy
294969,The Executioner (1974),Action
239736,The Girl Friend (1935),Comedy
159443,Office (2015),Drama
156694,Zombie Ass: Toilet of the Dead (2011),Comedy|Horror
140988,The Girl from the Marsh Croft (1935),(no genres listed)
116433,America's Most Haunted Inns (2004),Documentary
255079,The Boy Who Cried Bitch (1991),Drama|Thriller
77833,Armadillo (2010),Documentary|Drama
249448,Top Coat Cash (2017),Action|Crime|Drama
202111,Skeletons in the Closet (2018),Horror
245370,The Fabulous Filipino Brothers (2021),Comedy|Romance
193277,Your Face (2018),Documentary
